回访ID,老人ID,社区食堂,评分,回访日期,意见内容
S000080,E0233,海淀康乐食堂,4,2026-02-26,基本满意
S000081,E0089,石景山爱心食堂,1,2026-04-08,
S000082,E0011,朝阳幸福食堂,3,2026-02-16,味道一般
S000083,E0272,海淀康乐食堂,4,2026-02-05,
S000084,E0263,丰台惠民食堂,2,2026-06-02,
S000085,E0280,海淀康乐食堂,4,2026-03-26,基本满意
S000086,E0271,石景山爱心食堂,3,2026-05-21,味道一般
S000087,E0207,西城长者食堂,3,2026-04-29,味道一般
S000088,E0230,丰台惠民食堂,3,2026-04-08,味道一般
S000089,E0063,西城长者食堂,3,2026-05-31,
S000090,E0082,丰台惠民食堂,1,2026-05-21,饭菜质量差，不卫生
S000091,E0266,西城长者食堂,4,2026-05-24,基本满意
S000092,E0195,海淀康乐食堂,5,2026-03-12,
S000093,E0132,东城温馨食堂,2,2025-12-07,
S000094,E0055,丰台惠民食堂,2,2026-02-12,送餐太慢，经常凉了
S000095,E0229,丰台惠民食堂,3,2026-05-19,
S000096,E0071,朝阳幸福食堂,3,2025-12-24,味道一般
S000097,E0024,东城温馨食堂,3,2026-01-12,味道一般
S000098,E0123,朝阳幸福食堂,4,2025-12-18,基本满意
S000099,E0122,石景山爱心食堂,3,2026-05-22,
S000100,E0050,丰台惠民食堂,2,2026-05-24,
S000101,E0009,东城温馨食堂,5,2026-03-31,
S000102,E0033,丰台惠民食堂,4,2026-01-18,
S000103,E0154,石景山爱心食堂,4,2026-02-22,
S000104,E0262,东城温馨食堂,3,2026-02-05,味道一般
S000105,E0147,海淀康乐食堂,3,2026-02-15,味道一般
S000106,E0026,石景山爱心食堂,2,2026-01-26,
S000107,E0022,朝阳幸福食堂,2,2025-12-15,
S000108,E0215,丰台惠民食堂,2,2026-05-16,
S000109,E0071,朝阳幸福食堂,4,2026-01-20,基本满意
S000110,E0286,东城温馨食堂,4,2026-04-15,
S000111,E0253,海淀康乐食堂,3,2026-03-05,
S000112,E0200,丰台惠民食堂,1,2026-04-23,
S000113,E0048,东城温馨食堂,3,2026-03-20,味道一般
S000114,E0007,朝阳幸福食堂,3,2026-02-19,味道一般
S000115,E0023,石景山爱心食堂,4,2026-02-02,基本满意
S000116,E0006,西城长者食堂,4,2026-01-02,
S000117,E0261,石景山爱心食堂,3,2026-01-28,
S000118,E0180,朝阳幸福食堂,3,2026-02-06,味道一般
S000119,E0002,东城温馨食堂,3,2026-03-30,
S000120,E0083,丰台惠民食堂,2,2026-03-31,送餐太慢，经常凉了
S000121,E0098,西城长者食堂,3,2025-12-11,味道一般
S000122,E0209,海淀康乐食堂,2,2026-02-10,送餐太慢，经常凉了
S000123,E0257,西城长者食堂,3,2026-03-18,
S000124,E0197,石景山爱心食堂,3,2025-12-06,味道一般
S000125,E0084,丰台惠民食堂,3,2025-12-23,
S000126,E0078,海淀康乐食堂,3,2026-05-27,味道一般
S000127,E0092,朝阳幸福食堂,4,2026-04-13,
S000128,E0179,朝阳幸福食堂,2,2026-03-01,
S000129,E0231,丰台惠民食堂,2,2026-02-14,
S000130,E0202,朝阳幸福食堂,3,2026-03-31,
S000131,E0259,东城温馨食堂,3,2026-03-18,
S000132,E0054,丰台惠民食堂,1,2026-05-04,
S000133,E0220,朝阳幸福食堂,3,2026-03-18,味道一般
S000134,E0129,丰台惠民食堂,3,2026-05-14,味道一般
S000135,E0209,海淀康乐食堂,4,2026-02-21,
S000136,E0239,朝阳幸福食堂,3,2025-12-13,
S000137,E0228,西城长者食堂,3,2026-03-07,味道一般
S000138,E0167,海淀康乐食堂,4,2026-02-25,基本满意
S000139,E0115,东城温馨食堂,2,2026-05-16,送餐太慢，经常凉了
S000140,E0074,石景山爱心食堂,4,2025-12-10,基本满意
S000141,E0014,东城温馨食堂,4,2026-03-27,
S000142,E0254,石景山爱心食堂,3,2026-01-06,味道一般
S000143,E0029,西城长者食堂,4,2026-03-24,基本满意
S000144,E0113,海淀康乐食堂,2,2026-02-12,送餐太慢，经常凉了
S000145,E0142,东城温馨食堂,4,2025-12-12,
S000146,E0117,朝阳幸福食堂,4,2025-12-13,
S000147,E0119,西城长者食堂,3,2026-05-02,味道一般
S000148,E0021,朝阳幸福食堂,3,2026-02-27,
S000149,E0225,丰台惠民食堂,4,2026-03-12,
S000150,E0037,朝阳幸福食堂,3,2026-04-13,味道一般
S000151,E0129,丰台惠民食堂,3,2025-12-06,味道一般
S000152,E0023,石景山爱心食堂,1,2026-05-19,
S000153,E0055,丰台惠民食堂,1,2026-04-25,饭菜质量差，不卫生
S000154,E0045,西城长者食堂,2,2025-12-31,送餐太慢，经常凉了
S000155,E0248,朝阳幸福食堂,3,2026-06-03,
S000156,E0241,朝阳幸福食堂,3,2026-05-12,
S000157,E0226,丰台惠民食堂,2,2025-12-16,
S000158,E0213,西城长者食堂,3,2026-04-08,味道一般
S000159,E0082,丰台惠民食堂,4,2026-03-23,基本满意
S000160,E0191,海淀康乐食堂,4,2026-03-26,基本满意
S000161,E0079,西城长者食堂,3,2026-01-02,味道一般
S000162,E0129,丰台惠民食堂,1,2026-04-08,饭菜质量差，不卫生
S000163,E0122,石景山爱心食堂,2,2026-05-10,送餐太慢，经常凉了
S000164,E0198,海淀康乐食堂,3,2026-03-06,味道一般
S000165,E0152,丰台惠民食堂,5,2026-03-30,很好，感谢政府
S000166,E0211,石景山爱心食堂,3,2026-02-10,味道一般
S000167,E0260,朝阳幸福食堂,3,2025-12-03,
S000168,E0138,丰台惠民食堂,4,2026-02-24,
S000169,E0099,丰台惠民食堂,3,2026-01-16,
S000170,E0247,朝阳幸福食堂,3,2026-04-22,味道一般
S000171,E0239,朝阳幸福食堂,4,2025-12-16,基本满意
S000172,E0246,石景山爱心食堂,1,2026-04-07,饭菜质量差，不卫生
S000173,E0218,朝阳幸福食堂,3,2026-05-27,味道一般
S000174,E0154,石景山爱心食堂,2,2026-05-11,送餐太慢，经常凉了
S000175,E0264,石景山爱心食堂,3,2026-05-10,味道一般
S000176,E0010,海淀康乐食堂,3,2025-12-23,
S000177,E0212,西城长者食堂,4,2025-12-29,
S000178,E0178,朝阳幸福食堂,3,2025-12-26,味道一般
S000179,E0230,丰台惠民食堂,3,2026-02-13,味道一般
S000180,E0048,东城温馨食堂,3,2026-01-10,味道一般
S000181,E0063,西城长者食堂,2,2026-04-22,送餐太慢，经常凉了
S000182,E0269,丰台惠民食堂,2,2026-05-22,送餐太慢，经常凉了
S000183,E0078,海淀康乐食堂,4,2026-03-02,基本满意
S000184,E0061,西城长者食堂,3,2026-03-17,
S000185,E0071,朝阳幸福食堂,4,2026-01-14,
S000186,E0250,东城温馨食堂,3,2025-12-31,
S000187,E0197,石景山爱心食堂,1,2025-12-31,饭菜质量差，不卫生
S000188,E0078,海淀康乐食堂,4,2025-12-22,
S000189,E0287,朝阳幸福食堂,2,2026-05-18,送餐太慢，经常凉了
S000190,E0217,海淀康乐食堂,3,2026-01-31,
S000191,E0055,丰台惠民食堂,2,2026-04-04,送餐太慢，经常凉了
S000192,E0212,西城长者食堂,4,2025-12-18,
S000193,E0036,东城温馨食堂,3,2026-05-19,味道一般
S000194,E0225,丰台惠民食堂,1,2026-04-22,
S000195,E0155,西城长者食堂,4,2025-12-24,基本满意
S000196,E0117,朝阳幸福食堂,3,2026-01-03,味道一般
S000197,E0205,海淀康乐食堂,3,2026-01-20,
S000198,E0081,海淀康乐食堂,3,2026-04-28,
S000199,E0265,石景山爱心食堂,2,2026-04-12,
S000200,E0268,朝阳幸福食堂,3,2025-12-13,味道一般
S000201,E0245,东城温馨食堂,4,2026-04-22,
S000202,E0179,朝阳幸福食堂,5,2026-05-07,
S000203,E0273,西城长者食堂,4,2026-02-06,基本满意
S000204,E0160,石景山爱心食堂,3,2025-12-26,
S000205,E0212,西城长者食堂,5,2025-12-13,很好，感谢政府
S000206,E0227,石景山爱心食堂,3,2026-01-05,味道一般
S000207,E0016,丰台惠民食堂,2,2026-05-25,送餐太慢，经常凉了
S000208,E0116,丰台惠民食堂,4,2026-03-12,基本满意
S000209,E0102,西城长者食堂,3,2026-01-05,味道一般
S000210,E0018,西城长者食堂,2,2026-01-02,
S000211,E0025,朝阳幸福食堂,4,2025-12-10,基本满意
S000212,E0068,海淀康乐食堂,4,2026-03-18,
S000213,E0127,朝阳幸福食堂,4,2026-05-12,基本满意
S000214,E0240,石景山爱心食堂,2,2026-04-10,
S000215,E0268,朝阳幸福食堂,3,2026-05-10,
S000216,E0193,丰台惠民食堂,2,2026-04-21,
S000217,E0292,海淀康乐食堂,3,2026-04-18,味道一般
S000218,E0206,朝阳幸福食堂,4,2025-12-20,
S000219,E0074,石景山爱心食堂,3,2025-12-20,
S000220,E0228,西城长者食堂,3,2025-12-12,
S000221,E0109,丰台惠民食堂,4,2026-02-10,
S000222,E0298,海淀康乐食堂,4,2026-04-16,
S000223,E0133,丰台惠民食堂,1,2026-05-16,
S000224,E0045,西城长者食堂,4,2026-02-26,基本满意
S000225,E0169,东城温馨食堂,3,2026-01-03,
S000226,E0194,朝阳幸福食堂,3,2026-03-15,味道一般
S000227,E0144,西城长者食堂,3,2025-12-16,
S000228,E0155,西城长者食堂,3,2026-02-11,味道一般
S000229,E0037,朝阳幸福食堂,4,2026-04-17,
S000230,E0126,朝阳幸福食堂,4,2025-12-13,基本满意
S000231,E0029,西城长者食堂,3,2026-01-26,
S000232,E0154,石景山爱心食堂,3,2026-02-07,味道一般
S000233,E0130,石景山爱心食堂,3,2026-03-08,
S000234,E0232,丰台惠民食堂,4,2026-02-07,基本满意
S000235,E0232,丰台惠民食堂,4,2026-02-01,基本满意
S000236,E0255,石景山爱心食堂,5,2026-01-26,很好，感谢政府
S000237,E0058,石景山爱心食堂,3,2025-12-21,味道一般
S000238,E0050,丰台惠民食堂,2,2026-04-14,送餐太慢，经常凉了
S000239,E0149,朝阳幸福食堂,3,2025-12-31,味道一般
S000240,E0051,东城温馨食堂,3,2026-03-03,味道一般
S000241,E0154,石景山爱心食堂,3,2026-04-14,
S000242,E0066,东城温馨食堂,4,2026-05-10,基本满意
S000243,E0112,石景山爱心食堂,2,2026-04-23,
S000244,E0065,海淀康乐食堂,3,2026-04-11,味道一般
S000245,E0226,丰台惠民食堂,1,2026-05-06,
S000246,E0158,东城温馨食堂,2,2025-12-22,
S000247,E0194,朝阳幸福食堂,3,2026-02-07,
S000248,E0193,丰台惠民食堂,4,2026-01-06,基本满意
S000249,E0122,石景山爱心食堂,3,2025-12-19,
S000250,E0088,朝阳幸福食堂,4,2026-03-05,基本满意
S000251,E0065,海淀康乐食堂,4,2025-12-15,
S000252,E0226,丰台惠民食堂,3,2025-12-18,
S000253,E0091,朝阳幸福食堂,1,2026-01-02,
S000254,E0279,海淀康乐食堂,4,2026-04-20,基本满意
S000255,E0136,丰台惠民食堂,3,2025-12-21,味道一般
S000256,E0192,西城长者食堂,4,2026-04-23,基本满意
S000257,E0102,西城长者食堂,4,2026-04-01,
S000258,E0289,朝阳幸福食堂,2,2026-05-13,送餐太慢，经常凉了
S000259,E0284,西城长者食堂,3,2026-04-22,味道一般
S000260,E0016,丰台惠民食堂,4,2026-03-19,基本满意
S000261,E0223,东城温馨食堂,3,2026-05-07,味道一般
S000262,E0095,东城温馨食堂,4,2026-05-18,基本满意
S000263,E0172,东城温馨食堂,3,2026-01-28,
S000264,E0205,海淀康乐食堂,4,2025-12-17,基本满意
S000265,E0257,西城长者食堂,2,2026-04-03,送餐太慢，经常凉了
S000266,E0008,西城长者食堂,4,2025-12-16,基本满意
S000267,E0276,东城温馨食堂,3,2026-05-14,
S000268,E0273,西城长者食堂,4,2026-01-05,
S000269,E0284,西城长者食堂,4,2025-12-24,
S000270,E0161,东城温馨食堂,3,2026-05-27,
S000271,E0078,海淀康乐食堂,4,2025-12-10,
S000272,E0030,朝阳幸福食堂,3,2026-04-26,味道一般
S000273,E0203,石景山爱心食堂,1,2026-05-27,
S000274,E0280,海淀康乐食堂,3,2026-06-01,味道一般
S000275,E0202,朝阳幸福食堂,3,2026-03-05,味道一般
S000276,E0058,石景山爱心食堂,4,2025-12-25,基本满意
S000277,E0238,石景山爱心食堂,3,2025-12-22,味道一般
S000278,E0113,海淀康乐食堂,3,2026-05-21,味道一般
S000279,E0084,丰台惠民食堂,1,2026-06-02,
S000280,E0052,丰台惠民食堂,1,2026-05-10,饭菜质量差，不卫生
S000281,E0264,石景山爱心食堂,1,2026-04-05,
S000282,E0214,朝阳幸福食堂,3,2026-04-25,
S000283,E0003,海淀康乐食堂,3,2026-02-02,味道一般
S000284,E0087,丰台惠民食堂,3,2026-03-08,味道一般
S000285,E0221,丰台惠民食堂,4,2025-12-06,
S000286,E0055,丰台惠民食堂,3,2026-02-12,味道一般
S000287,E0038,东城温馨食堂,3,2026-02-19,
S000288,E0023,石景山爱心食堂,4,2026-01-24,基本满意
S000289,E0167,海淀康乐食堂,3,2026-02-26,味道一般
S000290,E0014,东城温馨食堂,3,2026-06-02,
S000291,E0295,丰台惠民食堂,3,2026-01-01,
S000292,E0163,丰台惠民食堂,3,2026-01-20,味道一般
S000293,E0104,海淀康乐食堂,3,2026-04-23,
S000294,E0067,朝阳幸福食堂,3,2026-02-03,
S000295,E0020,石景山爱心食堂,4,2025-12-21,
S000296,E0175,东城温馨食堂,3,2026-02-21,味道一般
S000297,E0050,丰台惠民食堂,3,2025-12-08,
S000298,E0223,东城温馨食堂,4,2026-01-24,基本满意
S000299,E0036,东城温馨食堂,3,2026-04-29,
S000300,E0101,石景山爱心食堂,3,2025-12-19,
S000301,E0157,西城长者食堂,2,2026-02-16,
S000302,E0053,朝阳幸福食堂,4,2026-05-31,
S000303,E0088,朝阳幸福食堂,4,2026-03-21,
S000304,E0154,石景山爱心食堂,3,2026-03-27,
S000305,E0064,西城长者食堂,3,2026-01-08,
S000306,E0269,丰台惠民食堂,3,2026-02-20,味道一般
S000307,E0025,朝阳幸福食堂,3,2025-12-28,
S000308,E0219,西城长者食堂,4,2025-12-21,基本满意
S000309,E0190,石景山爱心食堂,4,2026-01-18,
S000310,E0096,石景山爱心食堂,2,2026-04-03,
S000311,E0057,海淀康乐食堂,4,2026-05-05,
S000312,E0036,东城温馨食堂,3,2026-04-09,
S000313,E0163,丰台惠民食堂,3,2026-02-20,味道一般
S000314,E0233,海淀康乐食堂,4,2026-04-21,
S000315,E0233,海淀康乐食堂,4,2026-04-01,基本满意
S000316,E0182,东城温馨食堂,3,2026-01-04,
S000317,E0155,西城长者食堂,3,2025-12-28,
S000318,E0026,石景山爱心食堂,4,2026-01-09,
S000319,E0029,西城长者食堂,3,2026-05-17,
S000320,E0211,石景山爱心食堂,4,2025-12-18,
S000321,E0114,东城温馨食堂,3,2025-12-08,味道一般
S000322,E0225,丰台惠民食堂,4,2026-01-17,
S000323,E0214,朝阳幸福食堂,3,2026-01-29,
S000324,E0213,西城长者食堂,2,2025-12-24,送餐太慢，经常凉了
S000325,E0230,丰台惠民食堂,3,2026-03-20,味道一般
S000326,E0109,丰台惠民食堂,2,2026-04-28,
S000327,E0195,海淀康乐食堂,4,2026-05-01,
S000328,E0271,石景山爱心食堂,2,2025-12-22,
S000329,E0198,海淀康乐食堂,4,2025-12-27,基本满意
S000330,E0128,石景山爱心食堂,4,2026-01-13,
S000331,E0265,石景山爱心食堂,4,2025-12-26,基本满意
S000332,E0293,西城长者食堂,3,2026-02-24,
S000333,E0288,石景山爱心食堂,4,2026-02-24,基本满意
S000334,E0118,朝阳幸福食堂,5,2026-03-01,
S000335,E0051,东城温馨食堂,3,2026-03-24,
S000336,E0266,西城长者食堂,3,2026-05-19,
S000337,E0185,丰台惠民食堂,4,2025-12-26,基本满意
S000338,E0144,西城长者食堂,4,2025-12-22,
S000339,E0278,石景山爱心食堂,3,2026-05-04,
S000340,E0248,朝阳幸福食堂,5,2026-01-21,
S000341,E0116,丰台惠民食堂,1,2026-04-05,饭菜质量差，不卫生
S000342,E0292,海淀康乐食堂,4,2026-05-16,
S000343,E0017,朝阳幸福食堂,3,2026-03-16,
S000344,E0242,西城长者食堂,3,2026-01-10,
S000345,E0206,朝阳幸福食堂,3,2026-04-12,
S000346,E0168,海淀康乐食堂,3,2026-04-24,
S000347,E0276,东城温馨食堂,3,2026-05-08,味道一般
S000348,E0069,海淀康乐食堂,3,2026-02-14,味道一般
S000349,E0077,朝阳幸福食堂,4,2026-03-20,
S000350,E0162,东城温馨食堂,3,2026-03-15,
S000351,E0186,丰台惠民食堂,2,2026-05-31,
S000352,E0151,朝阳幸福食堂,4,2026-04-23,
S000353,E0228,西城长者食堂,4,2026-01-27,基本满意
S000354,E0079,西城长者食堂,3,2025-12-17,味道一般
S000355,E0086,西城长者食堂,3,2026-01-17,味道一般
S000356,E0122,石景山爱心食堂,1,2026-05-06,饭菜质量差，不卫生
S000357,E0154,石景山爱心食堂,3,2026-02-12,味道一般
S000358,E0277,海淀康乐食堂,4,2025-12-19,基本满意
S000359,E0084,丰台惠民食堂,3,2026-01-25,味道一般
S000360,E0133,丰台惠民食堂,3,2026-02-09,
S000361,E0210,朝阳幸福食堂,4,2026-04-10,基本满意
S000362,E0243,丰台惠民食堂,3,2025-12-08,味道一般
S000363,E0265,石景山爱心食堂,2,2026-05-09,送餐太慢，经常凉了
S000364,E0128,石景山爱心食堂,5,2025-12-14,很好，感谢政府
S000365,E0046,东城温馨食堂,3,2026-01-03,
S000366,E0185,丰台惠民食堂,2,2026-05-04,送餐太慢，经常凉了
S000367,E0230,丰台惠民食堂,3,2026-03-23,味道一般
S000368,E0140,东城温馨食堂,3,2025-12-27,
S000369,E0117,朝阳幸福食堂,4,2026-01-25,基本满意
S000370,E0163,丰台惠民食堂,2,2026-04-04,
S000371,E0129,丰台惠民食堂,3,2026-05-19,味道一般
S000372,E0175,东城温馨食堂,3,2026-02-17,味道一般
S000373,E0080,海淀康乐食堂,3,2026-02-27,味道一般
S000374,E0053,朝阳幸福食堂,3,2026-04-07,味道一般
S000375,E0124,东城温馨食堂,3,2026-03-05,味道一般
S000376,E0213,西城长者食堂,3,2026-01-31,味道一般
S000377,E0079,西城长者食堂,3,2025-12-02,
S000378,E0020,石景山爱心食堂,2,2025-12-30,
S000379,E0115,东城温馨食堂,4,2026-02-21,基本满意
S000380,E0096,石景山爱心食堂,3,2025-12-20,
S000381,E0217,海淀康乐食堂,3,2025-12-09,
S000382,E0274,西城长者食堂,3,2026-02-14,味道一般
S000383,E0204,朝阳幸福食堂,3,2026-01-02,味道一般
S000384,E0218,朝阳幸福食堂,2,2026-05-31,
S000385,E0024,东城温馨食堂,3,2026-01-17,味道一般
S000386,E0277,海淀康乐食堂,4,2026-05-10,
S000387,E0270,丰台惠民食堂,1,2026-04-30,饭菜质量差，不卫生
S000388,E0206,朝阳幸福食堂,4,2026-04-05,基本满意
S000389,E0226,丰台惠民食堂,2,2026-05-20,送餐太慢，经常凉了
S000390,E0172,东城温馨食堂,4,2026-05-04,
S000391,E0057,海淀康乐食堂,3,2026-01-17,味道一般
S000392,E0032,东城温馨食堂,4,2026-04-15,基本满意
S000393,E0145,东城温馨食堂,4,2026-03-19,
S000394,E0214,朝阳幸福食堂,3,2026-02-23,
S000395,E0061,西城长者食堂,3,2026-05-15,
S000396,E0292,海淀康乐食堂,3,2026-05-20,
S000397,E0096,石景山爱心食堂,1,2026-05-07,饭菜质量差，不卫生
S000398,E0203,石景山爱心食堂,3,2026-04-12,
S000399,E0248,朝阳幸福食堂,4,2026-05-18,
S000400,E0214,朝阳幸福食堂,3,2026-02-03,
S000401,E0157,西城长者食堂,3,2026-02-04,味道一般
S000402,E0009,东城温馨食堂,3,2026-04-07,味道一般
S000403,E0102,西城长者食堂,4,2025-12-23,基本满意
S000404,E0054,丰台惠民食堂,3,2025-12-09,
S000405,E0288,石景山爱心食堂,3,2025-12-17,味道一般
S000406,E0263,丰台惠民食堂,2,2026-03-01,送餐太慢，经常凉了
S000407,E0046,东城温馨食堂,2,2025-12-04,送餐太慢，经常凉了
S000408,E0044,丰台惠民食堂,2,2026-05-15,
S000409,E0159,海淀康乐食堂,2,2025-12-31,
S000410,E0086,西城长者食堂,2,2025-12-10,
S000411,E0060,丰台惠民食堂,4,2026-03-14,基本满意
S000412,E0140,东城温馨食堂,3,2026-03-16,味道一般
S000413,E0101,石景山爱心食堂,2,2026-03-30,
S000414,E0017,朝阳幸福食堂,3,2026-01-08,
S000415,E0038,东城温馨食堂,3,2026-03-16,
S000416,E0171,东城温馨食堂,4,2026-06-02,基本满意
S000417,E0264,石景山爱心食堂,4,2026-02-17,基本满意
S000418,E0004,丰台惠民食堂,4,2026-02-17,
S000419,E0163,丰台惠民食堂,4,2025-12-22,
S000420,E0078,海淀康乐食堂,2,2026-01-03,送餐太慢，经常凉了
S000421,E0156,朝阳幸福食堂,4,2026-04-15,
S000422,E0033,丰台惠民食堂,3,2026-04-14,味道一般
S000423,E0294,朝阳幸福食堂,3,2026-05-16,味道一般
S000424,E0088,朝阳幸福食堂,1,2026-05-03,饭菜质量差，不卫生
S000425,E0236,朝阳幸福食堂,4,2026-05-03,基本满意
S000426,E0078,海淀康乐食堂,1,2026-05-19,
S000427,E0053,朝阳幸福食堂,4,2026-04-29,基本满意
S000428,E0211,石景山爱心食堂,4,2026-05-03,基本满意
S000429,E0253,海淀康乐食堂,3,2026-05-28,味道一般
S000430,E0233,海淀康乐食堂,3,2026-03-17,味道一般
S000431,E0031,东城温馨食堂,3,2026-05-30,味道一般
S000432,E0180,朝阳幸福食堂,2,2026-05-11,送餐太慢，经常凉了
S000433,E0266,西城长者食堂,3,2026-04-26,味道一般
S000434,E0036,东城温馨食堂,2,2026-03-30,送餐太慢，经常凉了
S000435,E0235,西城长者食堂,3,2025-12-14,
S000436,E0167,海淀康乐食堂,3,2026-02-17,味道一般
S000437,E0048,东城温馨食堂,4,2026-01-27,
S000438,E0206,朝阳幸福食堂,3,2026-01-09,
S000439,E0013,丰台惠民食堂,5,2026-03-16,
S000440,E0179,朝阳幸福食堂,3,2026-01-01,味道一般
S000441,E0202,朝阳幸福食堂,3,2026-01-01,
S000442,E0030,朝阳幸福食堂,4,2026-03-25,基本满意
S000443,E0113,海淀康乐食堂,3,2026-03-11,
S000444,E0112,石景山爱心食堂,3,2026-01-07,味道一般
S000445,E0279,海淀康乐食堂,3,2026-04-27,味道一般
S000446,E0006,西城长者食堂,3,2025-12-24,
S000447,E0256,西城长者食堂,4,2026-05-10,基本满意
S000448,E0020,石景山爱心食堂,4,2026-01-04,
S000449,E0028,西城长者食堂,3,2025-12-14,味道一般
S000450,E0077,朝阳幸福食堂,4,2025-12-19,
S000451,E0240,石景山爱心食堂,4,2025-12-24,
S000452,E0057,海淀康乐食堂,3,2025-12-06,味道一般
S000453,E0215,丰台惠民食堂,3,2025-12-11,
S000454,E0083,丰台惠民食堂,3,2026-02-12,味道一般
