核销ID,订单ID,老人ID,核销时间,核销方式,操作人
V000042,O000042,E0111,2026-03-19 13:40,人脸识别,系统
V000043,O000043,E0017,2026-05-02 17:36,人脸识别,系统
V000044,O000044,E0130,2025-12-16 07:08,人脸识别,系统
V000045,O000045,E0089,2026-04-15 12:24,人脸识别,系统
V000046,O000046,E0184,2026-01-04 13:55,人脸识别,系统
V000047,O000047,E0136,2026-05-23 07:41,刷卡,系统
V000048,O000048,E0185,2026-04-18 06:37,人脸识别,系统
V000049,O000049,E0168,2026-01-13 13:32,手工核销,操作员2
V000050,O000050,E0187,2026-04-18 19:12,人脸识别,系统
V000051,O000051,E0205,2026-04-18 18:36,人脸识别,系统
V000052,O000052,E0102,2026-04-29 17:26,人脸识别,系统
V000053,O000053,E0259,2026-02-23 07:18,刷卡,系统
V000054,O000054,E0276,2026-02-20 11:15,刷卡,系统
V000055,O000055,E0040,2026-05-25 17:46,人脸识别,系统
V000056,O000056,E0191,2026-03-12 11:56,人脸识别,系统
V000057,O000057,E0142,2026-02-01 12:13,手工核销,操作员2
V000058,O000058,E0176,2025-12-16 13:45,刷卡,系统
V000059,O000059,E0074,2025-12-22 12:03,人脸识别,系统
V000060,O000060,E0217,2026-01-02 11:38,人脸识别,系统
V000061,O000061,E0052,2026-01-29 06:21,手工核销,操作员4
V000062,O000062,E0035,2026-04-02 17:46,刷卡,系统
V000063,O000063,E0137,2025-12-02 07:53,人脸识别,系统
V000064,O000064,E0037,2026-04-20 19:36,人脸识别,系统
V000065,O000065,E0105,2025-12-20 19:00,刷卡,系统
V000066,O000066,E0186,2026-05-20 11:50,人脸识别,系统
V000067,O000067,E0145,2026-01-14 18:20,人脸识别,系统
V000068,O000068,E0294,2025-12-31 13:49,刷卡,系统
V000069,O000069,E0293,2026-04-17 12:29,人脸识别,系统
V000070,O000070,E0147,2025-12-23 12:26,人脸识别,系统
V000071,O000071,E0015,2025-12-29 11:45,刷卡,系统
V000072,O000072,E0041,2025-12-31 12:33,人脸识别,系统
V000073,O000073,E0229,2025-12-18 11:28,人脸识别,系统
V000074,O000074,E0286,2025-12-11 11:03,人脸识别,系统
V000075,O000075,E0127,2026-03-13 12:06,人脸识别,系统
V000076,O000076,E0283,2026-01-16 11:32,人脸识别,系统
V000077,O000077,E0288,2025-12-03 13:56,刷卡,系统
V000078,O000078,E0187,2026-04-09 12:11,人脸识别,系统
V000079,O000079,E0057,2026-02-10 19:32,手工核销,操作员5
V000080,O000080,E0165,2025-12-03 12:45,刷卡,系统
V000081,O000081,E0152,2026-04-15 17:23,人脸识别,系统
V000082,O000082,E0276,2026-05-20 13:37,人脸识别,系统
V000083,O000083,E0080,2026-05-25 13:00,人脸识别,系统
V000084,O000084,E0038,2026-04-09 11:54,人脸识别,系统
V000085,O000085,E0140,2025-12-22 07:33,人脸识别,系统
V000086,O000086,E0027,2026-04-03 17:16,刷卡,系统
V000087,O000087,E0212,2025-12-14 06:39,刷卡,系统
V000088,O000088,E0127,2026-04-14 12:49,手工核销,操作员1
V000089,O000089,E0132,2025-12-20 06:56,人脸识别,系统
V000090,O000090,E0256,2026-02-15 07:21,人脸识别,系统
V000091,O000091,E0266,2026-04-09 18:48,人脸识别,系统
V000092,O000092,E0291,2026-01-01 13:47,人脸识别,系统
V000093,O000093,E0287,2026-02-28 19:26,人脸识别,系统
V000094,O000094,E0012,2025-12-03 11:14,人脸识别,系统
V000095,O000095,E0040,2026-05-18 11:14,人脸识别,系统
V000096,O000096,E0149,2025-12-12 13:55,人脸识别,系统
V000097,O000097,E0085,2026-02-15 13:22,手工核销,操作员1
V000098,O000098,E0246,2026-05-22 18:11,人脸识别,系统
V000099,O000099,E0084,2026-03-11 13:26,刷卡,系统
V000100,O000100,E0068,2026-04-24 13:48,刷卡,系统
V000101,O000101,E0256,2026-04-07 18:55,人脸识别,系统
V000102,O000102,E0287,2026-01-16 07:49,人脸识别,系统
V000103,O000103,E0020,2026-05-01 13:39,刷卡,系统
V000104,O000104,E0087,2026-04-02 12:08,人脸识别,系统
V000105,O000105,E0123,2026-01-03 07:46,刷卡,系统
V000106,O000106,E0155,2026-05-27 11:44,刷卡,系统
V000107,O000107,E0086,2026-01-11 06:28,手工核销,操作员1
V000108,O000108,E0293,2026-01-02 18:36,人脸识别,系统
V000109,O000109,E0022,2026-04-02 12:20,手工核销,操作员2
V000110,O000110,E0052,2025-12-27 19:54,手工核销,操作员1
V000111,O000111,E0060,2026-01-28 11:00,人脸识别,系统
V000112,O000112,E0003,2026-04-26 12:52,刷卡,系统
V000113,O000113,E0008,2025-12-05 19:11,人脸识别,系统
V000114,O000114,E0008,2025-12-11 19:00,人脸识别,系统
V000115,O000115,E0069,2026-04-07 08:26,人脸识别,系统
V000116,O000116,E0075,2026-03-30 13:23,刷卡,系统
V000117,O000117,E0082,2026-05-02 18:23,人脸识别,系统
V000118,O000118,E0162,2026-03-23 19:48,刷卡,系统
V000119,O000119,E0233,2025-12-15 17:33,刷卡,系统
V000120,O000120,E0241,2026-02-21 13:38,人脸识别,系统
V000121,O000121,E0257,2026-02-21 07:54,刷卡,系统
V000122,O000122,E0284,2025-12-23 06:56,人脸识别,系统
V000123,O000123,E0094,2025-12-11 18:34,人脸识别,系统
V000124,O000124,E0289,2026-03-26 12:49,人脸识别,系统
V000125,O000125,E0061,2026-05-11 08:45,人脸识别,系统
V000126,O000126,E0236,2026-03-13 19:09,刷卡,系统
V000127,O000127,E0030,2025-12-07 08:23,人脸识别,系统
V000128,O000128,E0050,2026-03-16 18:26,人脸识别,系统
V000129,O000129,E0081,2026-05-21 11:06,刷卡,系统
V000130,O000130,E0004,2026-03-24 07:13,手工核销,操作员5
V000131,O000131,E0277,2025-12-23 13:34,人脸识别,系统
V000132,O000132,E0037,2026-03-12 07:42,人脸识别,系统
V000133,O000133,E0134,2026-01-27 12:14,人脸识别,系统
V000134,O000134,E0225,2025-12-20 11:50,人脸识别,系统
V000135,O000135,E0103,2026-05-04 08:54,人脸识别,系统
V000136,O000136,E0203,2026-03-27 17:43,人脸识别,系统
V000137,O000137,E0167,2026-04-15 12:31,人脸识别,系统
V000138,O000138,E0233,2026-03-11 12:58,手工核销,操作员5
V000139,O000139,E0235,2025-12-02 13:36,刷卡,系统
V000140,O000140,E0029,2025-12-22 08:08,刷卡,系统
V000141,O000141,E0122,2026-02-08 18:57,人脸识别,系统
V000142,O000142,E0070,2026-03-13 13:38,手工核销,操作员4
V000143,O000143,E0019,2026-03-14 12:46,人脸识别,系统
V000144,O000144,E0098,2026-01-05 19:32,人脸识别,系统
V000145,O000145,E0228,2026-03-18 12:32,人脸识别,系统
V000146,O000146,E0272,2025-12-24 13:37,人脸识别,系统
V000147,O000147,E0007,2026-04-19 17:31,手工核销,操作员3
V000148,O000148,E0068,2025-12-22 18:20,刷卡,系统
V000149,O000149,E0167,2026-02-21 11:04,刷卡,系统
V000150,O000150,E0051,2026-02-11 13:42,人脸识别,系统
V000151,O000151,E0231,2026-04-03 18:10,刷卡,系统
V000152,O000152,E0282,2025-12-23 13:28,手工核销,操作员4
V000153,O000153,E0109,2026-04-30 19:45,刷卡,系统
V000154,O000154,E0253,2026-02-12 17:07,刷卡,系统
V000155,O000155,E0128,2025-12-30 13:26,手工核销,操作员3
V000156,O000156,E0206,2026-04-26 08:55,手工核销,操作员1
V000157,O000157,E0187,2025-12-26 13:45,刷卡,系统
V000158,O000158,E0136,2026-04-07 11:40,手工核销,操作员1
V000159,O000159,E0264,2025-12-11 11:42,人脸识别,系统
V000160,O000160,E0167,2025-12-20 18:42,刷卡,系统
V000161,O000161,E0105,2025-12-28 13:51,人脸识别,系统
V000162,O000162,E0139,2026-01-25 11:52,手工核销,操作员4
V000163,O000163,E0262,2026-05-22 18:47,人脸识别,系统
V000164,O000164,E0290,2025-12-22 12:11,人脸识别,系统
V000165,O000165,E0189,2026-02-27 13:06,人脸识别,系统
V000166,O000166,E0257,2026-01-27 08:34,刷卡,系统
V000167,O000167,E0081,2025-12-10 12:43,人脸识别,系统
V000168,O000168,E0260,2025-12-22 17:05,刷卡,系统
V000169,O000169,E0141,2026-02-09 13:18,手工核销,操作员1
V000170,O000170,E0015,2025-12-24 13:35,人脸识别,系统
V000171,O000171,E0062,2026-03-06 08:41,人脸识别,系统
V000172,O000172,E0146,2025-12-07 19:39,人脸识别,系统
V000173,O000173,E0154,2026-02-10 18:41,人脸识别,系统
V000174,O000174,E0167,2026-04-06 12:15,人脸识别,系统
V000175,O000175,E0144,2026-01-07 17:10,人脸识别,系统
V000176,O000176,E0262,2026-04-28 12:35,刷卡,系统
V000177,O000177,E0083,2026-04-15 11:58,刷卡,系统
V000178,O000178,E0212,2025-12-07 17:27,人脸识别,系统
V000179,O000179,E0074,2025-12-16 06:44,刷卡,系统
V000180,O000180,E0027,2025-12-28 11:51,人脸识别,系统
V000181,O000181,E0190,2026-03-02 13:22,刷卡,系统
V000182,O000182,E0284,2026-01-23 11:34,人脸识别,系统
V000183,O000183,E0271,2026-05-08 11:34,人脸识别,系统
V000184,O000184,E0181,2026-03-26 06:58,人脸识别,系统
V000185,O000185,E0173,2026-03-26 11:16,人脸识别,系统
V000186,O000186,E0247,2026-03-30 11:38,刷卡,系统
V000187,O000187,E0254,2026-01-10 12:42,人脸识别,系统
V000188,O000188,E0284,2026-01-06 06:03,人脸识别,系统
V000189,O000189,E0173,2026-04-04 19:47,人脸识别,系统
V000190,O000190,E0226,2026-05-15 13:06,人脸识别,系统
V000191,O000191,E0026,2026-05-28 18:47,人脸识别,系统
V000192,O000192,E0297,2026-02-14 18:17,刷卡,系统
V000193,O000193,E0021,2026-01-06 12:52,人脸识别,系统
V000194,O000194,E0061,2026-03-11 07:43,人脸识别,系统
V000195,O000195,E0096,2025-12-31 11:22,人脸识别,系统
V000196,O000196,E0141,2026-04-25 13:27,人脸识别,系统
V000197,O000197,E0059,2026-02-28 06:40,人脸识别,系统
V000198,O000198,E0007,2025-12-06 06:41,人脸识别,系统
V000199,O000199,E0134,2026-04-16 12:35,人脸识别,系统
V000200,O000200,E0135,2026-04-18 19:37,人脸识别,系统
V000201,O000201,E0146,2026-03-05 19:18,人脸识别,系统
V000202,O000202,E0195,2026-03-29 08:49,刷卡,系统
V000203,O000203,E0032,2026-03-20 13:57,刷卡,系统
V000204,O000204,E0230,2026-03-30 07:43,人脸识别,系统
V000205,O000205,E0112,2026-04-09 11:58,人脸识别,系统
V000206,O000206,E0021,2026-04-02 19:49,人脸识别,系统
V000207,O000207,E0198,2025-12-29 17:20,刷卡,系统
V000208,O000208,E0117,2026-03-20 11:34,人脸识别,系统
V000209,O000209,E0213,2026-03-31 06:49,手工核销,操作员4
V000210,O000210,E0210,2026-05-28 11:01,人脸识别,系统
V000211,O000211,E0234,2025-12-03 19:50,刷卡,系统
V000212,O000212,E0289,2026-04-30 13:16,手工核销,操作员2
V000213,O000213,E0252,2025-12-07 13:10,人脸识别,系统
V000214,O000214,E0035,2026-04-07 18:12,刷卡,系统
V000215,O000215,E0118,2026-01-26 00:55,刷卡,系统
V000216,O000216,E0140,2026-04-06 19:40,人脸识别,系统
V000217,O000217,E0064,2026-02-15 12:27,人脸识别,系统
V000218,O000218,E0118,2026-01-31 15:16,刷卡,系统
V000219,O000219,E0183,2025-12-09 13:44,手工核销,操作员4
V000220,O000220,E0121,2025-12-15 19:52,刷卡,系统
V000221,O000221,E0054,2026-01-22 18:23,手工核销,操作员3
V000222,O000222,E0131,2026-05-20 17:44,刷卡,系统
V000223,O000223,E0037,2026-03-30 07:33,人脸识别,系统
V000224,O000224,E0188,2026-01-04 19:48,人脸识别,系统
V000225,O000225,E0114,2025-12-10 13:36,人脸识别,系统
V000226,O000226,E0225,2026-03-03 07:13,人脸识别,系统
V000227,O000227,E0241,2026-04-01 08:48,刷卡,系统
V000228,O000228,E0062,2026-05-26 11:05,刷卡,系统
V000229,O000229,E0059,2025-12-18 12:40,刷卡,系统
V000230,O000230,E0007,2026-05-28 18:55,人脸识别,系统
V000231,O000231,E0260,2026-04-08 18:43,手工核销,操作员1
V000232,O000232,E0028,2026-04-04 06:21,人脸识别,系统
V000233,O000233,E0167,2025-12-27 13:19,刷卡,系统
V000234,O000234,E0127,2026-02-02 11:22,刷卡,系统
V000235,O000235,E0246,2026-01-29 12:43,人脸识别,系统
V000236,O000236,E0050,2026-05-18 12:31,人脸识别,系统
V000237,O000237,E0196,2026-04-28 19:21,人脸识别,系统
V000238,O000238,E0213,2025-12-14 11:38,刷卡,系统
V000239,O000239,E0238,2025-12-18 17:49,刷卡,系统
V000240,O000240,E0062,2026-04-27 19:22,刷卡,系统
V000241,O000241,E0082,2026-03-02 12:57,人脸识别,系统
V000242,O000242,E0226,2026-02-23 12:19,人脸识别,系统
V000243,O000243,E0173,2026-02-25 19:36,人脸识别,系统
V000244,O000244,E0183,2025-12-30 07:42,刷卡,系统
V000245,O000245,E0135,2026-03-30 17:45,人脸识别,系统
V000246,O000246,E0109,2026-02-22 18:38,人脸识别,系统
V000247,O000247,E0295,2025-12-24 12:57,人脸识别,系统
V000248,O000248,E0053,2026-03-29 18:42,人脸识别,系统
V000249,O000249,E0078,2026-02-27 07:33,刷卡,系统
V000250,O000250,E0179,2026-01-06 17:16,人脸识别,系统
V000251,O000251,E0240,2026-02-24 13:14,人脸识别,系统
V000252,O000252,E0178,2026-04-06 18:20,人脸识别,系统
V000253,O000253,E0205,2026-05-01 11:57,人脸识别,系统
V000254,O000254,E0070,2025-12-15 19:00,刷卡,系统
V000255,O000255,E0086,2025-12-12 06:44,人脸识别,系统
V000256,O000256,E0059,2026-03-05 11:37,人脸识别,系统
V000257,O000257,E0085,2025-12-31 07:33,刷卡,系统
V000258,O000258,E0226,2026-05-30 19:28,人脸识别,系统
V000259,O000259,E0205,2026-03-04 13:01,人脸识别,系统
V000260,O000260,E0057,2026-02-22 13:19,人脸识别,系统
V000261,O000261,E0084,2026-02-10 17:41,人脸识别,系统
V000262,O000262,E0130,2026-01-13 18:49,手工核销,操作员3
V000263,O000263,E0283,2025-12-30 06:56,人脸识别,系统
V000264,O000264,E0182,2026-01-04 21:43,刷卡,系统
V000265,O000265,E0036,2025-12-21 06:50,刷卡,系统
V000266,O000266,E0112,2026-03-21 17:12,人脸识别,系统
V000267,O000267,E0289,2026-02-01 19:07,人脸识别,系统
V000268,O000268,E0009,2026-03-02 06:22,刷卡,系统
V000269,O000269,E0106,2026-04-24 13:58,刷卡,系统
V000270,O000270,E0130,2025-12-12 13:47,手工核销,操作员1
V000271,O000271,E0299,2026-04-25 13:10,刷卡,系统
V000272,O000272,E0124,2026-03-02 17:22,人脸识别,系统
V000273,O000273,E0073,2026-01-29 11:51,人脸识别,系统
V000274,O000274,E0230,2026-02-05 17:35,人脸识别,系统
V000275,O000275,E0168,2026-03-25 13:27,手工核销,操作员1
V000276,O000276,E0071,2025-12-15 18:16,刷卡,系统
V000277,O000277,E0137,2025-12-16 19:07,人脸识别,系统
V000278,O000278,E0071,2025-12-22 17:00,人脸识别,系统
V000279,O000279,E0031,2026-03-28 06:28,刷卡,系统
V000280,O000280,E0267,2025-12-17 13:51,人脸识别,系统
V000281,O000281,E0049,2026-03-05 06:02,人脸识别,系统
V000282,O000282,E0105,2025-12-18 12:12,人脸识别,系统
V000283,O000283,E0155,2025-12-01 12:32,人脸识别,系统
V000284,O000284,E0026,2026-02-13 17:22,人脸识别,系统
V000285,O000285,E0037,2025-12-06 07:22,刷卡,系统
V000286,O000286,E0285,2026-02-25 11:33,人脸识别,系统
V000287,O000287,E0032,2026-04-16 13:25,刷卡,系统
V000288,O000288,E0085,2026-05-29 08:04,人脸识别,系统
V000289,O000289,E0112,2026-01-31 13:07,刷卡,系统
V000290,O000290,E0185,2026-01-27 17:16,刷卡,系统
V000291,O000291,E0246,2026-03-18 08:24,人脸识别,系统
V000292,O000292,E0088,2025-12-19 18:22,刷卡,系统
V000293,O000293,E0163,2026-03-19 11:54,手工核销,操作员2
V000294,O000294,E0040,2026-04-20 18:27,刷卡,系统
V000295,O000295,E0010,2025-12-27 13:33,人脸识别,系统
V000296,O000296,E0113,2026-05-09 19:07,人脸识别,系统
V000297,O000297,E0253,2026-03-10 06:42,人脸识别,系统
V000298,O000298,E0033,2025-12-09 13:18,人脸识别,系统
V000299,O000299,E0232,2026-01-18 07:12,手工核销,操作员3
V000300,O000300,E0144,2026-05-14 17:25,人脸识别,系统
V000301,O000301,E0233,2025-12-31 17:38,刷卡,系统
V000302,O000302,E0012,2026-05-08 07:50,刷卡,系统
V000303,O000303,E0101,2026-01-28 06:05,人脸识别,系统
V000304,O000304,E0023,2026-04-26 13:12,手工核销,操作员1
V000305,O000305,E0094,2026-04-09 07:48,刷卡,系统
V000306,O000306,E0124,2026-01-14 12:51,人脸识别,系统
V000307,O000307,E0266,2026-03-06 11:56,刷卡,系统
V000308,O000308,E0129,2026-01-12 18:54,人脸识别,系统
V000309,O000309,E0256,2026-03-08 17:22,人脸识别,系统
V000310,O000310,E0140,2025-12-01 11:35,人脸识别,系统
V000311,O000311,E0281,2026-04-10 08:57,刷卡,系统
V000312,O000312,E0203,2026-03-01 11:42,人脸识别,系统
V000313,O000313,E0076,2026-01-13 11:16,刷卡,系统
V000314,O000314,E0003,2026-04-14 12:00,人脸识别,系统
V000315,O000315,E0165,2025-12-10 12:42,人脸识别,系统
V000316,O000316,E0026,2026-04-16 18:50,人脸识别,系统
V000317,O000317,E0019,2025-12-30 19:12,手工核销,操作员1
V000318,O000318,E0240,2026-04-25 07:27,人脸识别,系统
V000319,O000319,E0233,2026-01-25 11:54,刷卡,系统
V000320,O000320,E0296,2025-12-06 17:13,人脸识别,系统
V000321,O000321,E0156,2025-12-31 17:47,人脸识别,系统
V000322,O000322,E0030,2026-05-27 12:13,刷卡,系统
V000323,O000323,E0271,2026-02-27 17:06,手工核销,操作员2
V000324,O000324,E0138,2025-12-01 11:36,刷卡,系统
V000325,O000325,E0103,2026-03-20 12:40,刷卡,系统
V000326,O000326,E0231,2026-02-20 11:42,人脸识别,系统
V000327,O000327,E0206,2025-12-19 17:17,手工核销,操作员4
V000328,O000328,E0158,2025-12-23 12:40,人脸识别,系统
V000329,O000329,E0006,2025-12-20 08:08,人脸识别,系统
V000330,O000330,E0157,2026-02-02 19:37,人脸识别,系统
V000331,O000331,E0013,2026-01-22 22:19,刷卡,系统
V000332,O000332,E0046,2025-12-16 19:20,手工核销,操作员5
V000333,O000333,E0255,2025-12-17 13:37,刷卡,系统
V000334,O000334,E0008,2025-12-06 19:35,人脸识别,系统
V000335,O000335,E0169,2026-03-28 06:24,人脸识别,系统
V000336,O000336,E0124,2026-02-11 12:42,人脸识别,系统
V000337,O000337,E0047,2025-12-05 13:01,手工核销,操作员3
V000338,O000338,E0152,2026-03-01 13:43,人脸识别,系统
V000339,O000339,E0257,2025-12-06 11:29,人脸识别,系统
V000340,O000340,E0151,2026-03-19 17:07,人脸识别,系统
V000341,O000341,E0063,2026-01-09 11:24,人脸识别,系统
V000342,O000342,E0072,2026-03-01 11:29,人脸识别,系统
V000343,O000343,E0028,2026-02-04 08:29,人脸识别,系统
V000344,O000344,E0053,2026-04-16 08:12,人脸识别,系统
V000345,O000345,E0055,2025-12-11 06:30,人脸识别,系统
V000346,O000346,E0169,2026-04-27 18:31,人脸识别,系统
V000347,O000347,E0252,2026-03-26 18:35,人脸识别,系统
V000348,O000348,E0046,2025-12-15 00:40,刷卡,系统
V000349,O000349,E0029,2026-01-27 07:28,人脸识别,系统
V000350,O000350,E0167,2026-05-03 12:47,人脸识别,系统
V000351,O000351,E0102,2026-01-07 07:33,刷卡,系统
V000352,O000352,E0199,2026-03-04 17:18,刷卡,系统
V000353,O000353,E0075,2026-01-05 11:25,人脸识别,系统
V000354,O000354,E0136,2025-12-06 08:04,手工核销,操作员5
V000355,O000355,E0259,2026-04-10 11:19,刷卡,系统
V000356,O000356,E0179,2026-02-03 12:13,刷卡,系统
V000357,O000357,E0203,2026-04-03 11:42,人脸识别,系统
V000358,O000358,E0066,2026-03-27 11:28,人脸识别,系统
V000359,O000359,E0069,2025-12-18 17:02,刷卡,系统
V000360,O000360,E0256,2026-04-30 18:19,人脸识别,系统
V000361,O000361,E0211,2026-03-06 11:24,人脸识别,系统
V000362,O000362,E0056,2026-05-06 12:40,刷卡,系统
V000363,O000363,E0290,2025-12-28 17:04,人脸识别,系统
V000364,O000364,E0053,2026-04-07 11:54,人脸识别,系统
V000365,O000365,E0019,2026-01-05 08:55,人脸识别,系统
V000366,O000366,E0273,2026-02-08 17:28,刷卡,系统
V000367,O000367,E0061,2026-03-05 06:49,手工核销,操作员1
V000368,O000368,E0040,2026-04-13 07:40,刷卡,系统
V000369,O000369,E0141,2026-05-11 06:40,人脸识别,系统
V000370,O000370,E0089,2026-01-13 08:01,刷卡,系统
V000371,O000371,E0140,2026-01-13 08:05,人脸识别,系统
V000372,O000372,E0237,2025-12-27 07:35,刷卡,系统
V000373,O000373,E0264,2026-03-10 13:58,人脸识别,系统
V000374,O000374,E0082,2026-01-21 11:00,人脸识别,系统
V000375,O000375,E0266,2026-05-19 07:30,手工核销,操作员4
V000376,O000376,E0026,2025-12-25 11:26,刷卡,系统
V000377,O000377,E0125,2026-02-12 13:44,人脸识别,系统
V000378,O000378,E0278,2026-01-08 06:36,刷卡,系统
V000379,O000379,E0153,2025-12-25 11:45,刷卡,系统
V000380,O000380,E0149,2025-12-14 12:45,人脸识别,系统
V000381,O000381,E0103,2026-04-18 12:18,手工核销,操作员4
V000382,O000382,E0092,2026-03-23 11:00,人脸识别,系统
V000383,O000383,E0202,2025-12-03 11:30,人脸识别,系统
V000384,O000384,E0118,2026-03-25 12:17,手工核销,操作员5
V000385,O000385,E0129,2025-12-22 18:06,手工核销,操作员3
V000386,O000386,E0207,2025-12-04 11:48,人脸识别,系统
V000387,O000387,E0121,2026-04-15 11:31,刷卡,系统
V000388,O000388,E0020,2025-12-14 11:34,刷卡,系统
V000389,O000389,E0111,2025-12-14 18:31,人脸识别,系统
V000390,O000390,E0168,2025-12-16 08:58,人脸识别,系统
V000391,O000391,E0002,2026-05-09 12:00,人脸识别,系统
V000392,O000392,E0136,2026-02-02 11:32,手工核销,操作员1
V000393,O000393,E0108,2025-12-16 12:11,刷卡,系统
V000394,O000394,E0220,2026-01-21 19:44,手工核销,操作员5
V000395,O000395,E0003,2025-12-19 17:23,手工核销,操作员2
V000396,O000396,E0128,2026-02-07 06:53,人脸识别,系统
V000397,O000397,E0202,2026-04-19 11:03,刷卡,系统
V000398,O000398,E0297,2026-03-03 18:14,刷卡,系统
V000399,O000399,E0027,2025-12-05 11:31,刷卡,系统
V000400,O000400,E0256,2026-01-11 11:23,人脸识别,系统
V000401,O000401,E0198,2025-12-17 18:22,人脸识别,系统
V000402,O000402,E0260,2026-03-21 12:24,手工核销,操作员3
V000403,O000403,E0076,2026-02-10 17:48,刷卡,系统
V000404,O000404,E0287,2026-03-14 11:25,刷卡,系统
V000405,O000405,E0300,2026-03-04 13:20,人脸识别,系统
V000406,O000406,E0148,2025-12-10 13:05,人脸识别,系统
V000407,O000407,E0130,2025-12-16 22:21,刷卡,系统
V000408,O000408,E0245,2026-04-23 13:57,人脸识别,系统
V000409,O000409,E0024,2026-01-11 12:44,人脸识别,系统
V000410,O000410,E0249,2025-12-03 19:38,人脸识别,系统
V000411,O000411,E0289,2026-04-30 12:36,人脸识别,系统
V000412,O000412,E0206,2026-03-31 16:10,刷卡,系统
V000413,O000413,E0224,2026-05-05 13:36,人脸识别,系统
V000414,O000414,E0092,2026-05-22 11:29,人脸识别,系统
V000415,O000415,E0206,2025-12-24 10:30,刷卡,系统
V000416,O000416,E0187,2025-12-19 11:32,手工核销,操作员2
V000417,O000417,E0233,2026-02-13 17:44,刷卡,系统
V000418,O000418,E0017,2026-01-09 12:11,人脸识别,系统
V000419,O000419,E0284,2026-01-15 18:26,人脸识别,系统
V000420,O000420,E0017,2026-01-09 13:57,刷卡,系统
V000421,O000421,E0115,2026-01-31 18:13,人脸识别,系统
V000422,O000422,E0039,2025-12-18 12:52,人脸识别,系统
V000423,O000423,E0297,2026-04-19 06:57,刷卡,系统
V000424,O000424,E0040,2026-04-21 13:00,人脸识别,系统
V000425,O000425,E0250,2025-12-26 13:57,刷卡,系统
V000426,O000426,E0174,2026-03-18 11:44,人脸识别,系统
V000427,O000427,E0197,2025-12-11 11:49,人脸识别,系统
V000428,O000428,E0188,2026-03-14 12:48,人脸识别,系统
V000429,O000429,E0089,2026-05-04 11:07,手工核销,操作员1
V000430,O000430,E0156,2026-04-13 11:07,人脸识别,系统
V000431,O000431,E0242,2026-02-26 19:39,刷卡,系统
V000432,O000432,E0279,2026-03-25 19:28,刷卡,系统
V000433,O000433,E0078,2026-01-02 11:25,人脸识别,系统
V000434,O000434,E0133,2026-03-28 13:25,刷卡,系统
V000435,O000435,E0233,2026-02-18 13:48,刷卡,系统
V000436,O000436,E0288,2026-05-27 18:19,人脸识别,系统
V000437,O000437,E0129,2025-12-12 18:43,人脸识别,系统
V000438,O000438,E0271,2026-03-05 12:42,人脸识别,系统
