订单ID,老人ID,餐品ID,下单日期,餐次,餐品单价,补贴抵扣,自付金额,订单来源,订餐渠道,退餐原因
O000127,E0030,M003,2025-12-07,早餐,10,10.0,0.0,食堂替换餐品,小程序,
O000128,E0050,M023,2026-03-16,晚餐,12,6.7,5.3,老人主动选择,现场点餐,
O000129,E0081,M020,2026-05-21,午餐,10,6.7,3.3,老人主动选择,现场点餐,
O000130,E0004,M010,2026-03-24,早餐,12,3.3,8.7,老人主动选择,小程序,
O000131,E0277,M011,2025-12-23,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O000132,E0037,M030,2026-03-12,早餐,10,3.3,6.7,家属代订,电话订餐,
O000133,E0134,M006,2026-01-27,午餐,8,8.0,0.0,老人主动选择,现场点餐,
O000134,E0225,M005,2025-12-20,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O000135,E0103,M020,2026-05-04,早餐,15,15.0,0.0,老人主动选择,电话订餐,
O000136,E0203,M022,2026-03-27,晚餐,8,3.3,4.7,家属代订,小程序,
O000137,E0167,M013,2026-04-15,午餐,15,6.7,8.3,家属代订,小程序,
O000138,E0233,M012,2026-03-11,午餐,15,6.7,8.3,食堂替换餐品,电话订餐,
O000139,E0235,M019,2025-12-02,午餐,15,6.7,8.3,食堂替换餐品,社区代办,
O000140,E0029,M019,2025-12-22,早餐,10,10.0,0.0,老人主动选择,电话订餐,
O000141,E0122,M021,2026-02-08,晚餐,10,3.3,6.7,老人主动选择,小程序,
O000142,E0070,M027,2026-03-13,午餐,12,6.7,5.3,老人主动选择,小程序,重复下单
O000143,E0019,M005,2026-03-14,午餐,12,12.0,0.0,老人主动选择,现场点餐,
O000144,E0098,M025,2026-01-05,晚餐,15,3.3,11.7,老人主动选择,小程序,
O000145,E0228,M020,2026-03-18,午餐,15,3.3,11.7,老人主动选择,小程序,餐品不合口味
O000146,E0272,M021,2025-12-24,午餐,15,3.3,11.7,老人主动选择,现场点餐,
O000147,E0007,M028,2026-04-19,晚餐,8,8.0,0.0,老人主动选择,社区代办,
O000148,E0068,M009,2025-12-22,晚餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O000149,E0167,M004,2026-02-21,午餐,15,6.7,8.3,食堂替换餐品,小程序,
O000150,E0051,M029,2026-02-11,午餐,15,3.3,11.7,老人主动选择,小程序,
O000151,E0231,M015,2026-04-03,晚餐,10,3.3,6.7,老人主动选择,现场点餐,
O000152,E0282,M003,2025-12-23,午餐,12,3.3,8.7,老人主动选择,社区代办,
O000153,E0109,M023,2026-04-30,晚餐,15,6.7,8.3,食堂替换餐品,社区代办,
O000154,E0253,M007,2026-02-12,晚餐,15,3.3,11.7,食堂替换餐品,电话订餐,
O000155,E0128,M024,2025-12-30,午餐,15,3.3,11.7,老人主动选择,现场点餐,
O000156,E0206,M020,2026-04-26,早餐,15,3.3,11.7,老人主动选择,小程序,
O000157,E0187,M020,2025-12-26,午餐,10,3.3,6.7,老人主动选择,小程序,
O000158,E0136,M014,2026-04-07,午餐,10,3.3,6.7,老人主动选择,小程序,
O000159,E0264,M014,2025-12-11,午餐,10,3.3,6.7,家属代订,社区代办,
O000160,E0167,M009,2025-12-20,晚餐,12,6.7,5.3,老人主动选择,小程序,
O000161,E0105,M026,2025-12-28,午餐,15,6.7,8.3,食堂替换餐品,小程序,
O000162,E0139,M023,2026-01-25,午餐,12,12.0,0.0,老人主动选择,社区代办,盐分过高
O000163,E0262,M003,2026-05-22,晚餐,12,6.7,5.3,家属代订,小程序,
O000164,E0290,M029,2025-12-22,午餐,10,10.0,0.0,老人主动选择,小程序,
O000165,E0189,M009,2026-02-27,午餐,15,15.0,0.0,老人主动选择,现场点餐,
O000166,E0257,M029,2026-01-27,早餐,15,15.0,0.0,家属代订,现场点餐,
O000167,E0081,M021,2025-12-10,午餐,12,6.7,5.3,食堂替换餐品,电话订餐,
O000168,E0260,M004,2025-12-22,晚餐,8,6.7,1.3,家属代订,社区代办,
O000169,E0141,M017,2026-02-09,午餐,8,8.0,0.0,家属代订,小程序,
O000170,E0015,M025,2025-12-24,午餐,15,3.3,11.7,家属代订,社区代办,
O000171,E0062,M006,2026-03-06,早餐,15,6.7,8.3,老人主动选择,现场点餐,
O000172,E0146,M016,2025-12-07,晚餐,12,12.0,0.0,家属代订,小程序,
O000173,E0154,M027,2026-02-10,晚餐,12,6.7,5.3,家属代订,现场点餐,
O000174,E0167,M018,2026-04-06,午餐,10,6.7,3.3,老人主动选择,小程序,
O000175,E0144,M013,2026-01-07,晚餐,12,3.3,8.7,老人主动选择,小程序,
O000176,E0262,M007,2026-04-28,午餐,12,6.7,5.3,家属代订,社区代办,
O000177,E0083,M003,2026-04-15,午餐,8,3.3,4.7,家属代订,小程序,
O000178,E0212,M006,2025-12-07,晚餐,8,3.3,4.7,老人主动选择,小程序,
O000179,E0074,M024,2025-12-16,早餐,8,3.3,4.7,家属代订,小程序,
O000180,E0027,M003,2025-12-28,午餐,8,8.0,0.0,家属代订,小程序,盐分过高
O000181,E0190,M029,2026-03-02,午餐,12,6.7,5.3,老人主动选择,现场点餐,
O000182,E0284,M028,2026-01-23,午餐,15,6.7,8.3,家属代订,社区代办,糖分过高
O000183,E0271,M012,2026-05-08,午餐,8,3.3,4.7,老人主动选择,电话订餐,
O000184,E0181,M005,2026-03-26,早餐,10,10.0,0.0,老人主动选择,电话订餐,
O000185,E0173,M030,2026-03-26,午餐,10,6.7,3.3,家属代订,电话订餐,
O000186,E0247,M022,2026-03-30,午餐,12,12.0,0.0,食堂替换餐品,小程序,
O000187,E0254,M017,2026-01-10,午餐,10,10.0,0.0,老人主动选择,小程序,
O000188,E0284,M010,2026-01-06,早餐,8,6.7,1.3,家属代订,小程序,
O000189,E0173,M007,2026-04-04,晚餐,15,6.7,8.3,老人主动选择,电话订餐,
O000190,E0226,M004,2026-05-15,午餐,15,6.7,8.3,食堂替换餐品,电话订餐,
O000191,E0026,M010,2026-05-28,晚餐,8,6.7,1.3,家属代订,社区代办,
O000192,E0297,M027,2026-02-14,晚餐,10,10.0,0.0,食堂替换餐品,现场点餐,
O000193,E0021,M007,2026-01-06,午餐,12,6.7,5.3,家属代订,现场点餐,
O000194,E0061,M023,2026-03-11,早餐,15,6.7,8.3,家属代订,小程序,
O000195,E0096,M011,2025-12-31,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O000196,E0141,M021,2026-04-25,午餐,8,8.0,0.0,老人主动选择,社区代办,
O000197,E0059,M008,2026-02-28,早餐,10,3.3,6.7,老人主动选择,社区代办,
O000198,E0007,M008,2025-12-06,早餐,12,12.0,0.0,家属代订,小程序,
O000199,E0134,M005,2026-04-16,午餐,12,12.0,0.0,老人主动选择,电话订餐,
O000200,E0135,M005,2026-04-18,晚餐,10,6.7,3.3,老人主动选择,电话订餐,
O000201,E0146,M007,2026-03-05,晚餐,8,8.0,0.0,食堂替换餐品,小程序,
O000202,E0195,M022,2026-03-29,早餐,10,6.7,3.3,家属代订,社区代办,
O000203,E0032,M004,2026-03-20,午餐,10,3.3,6.7,食堂替换餐品,小程序,
O000204,E0230,M002,2026-03-30,早餐,10,3.3,6.7,老人主动选择,小程序,
O000205,E0112,M024,2026-04-09,午餐,8,3.3,4.7,老人主动选择,电话订餐,
O000206,E0021,M019,2026-04-02,晚餐,15,6.7,8.3,老人主动选择,小程序,
O000207,E0198,M002,2025-12-29,晚餐,8,3.3,4.7,老人主动选择,社区代办,
O000208,E0117,M016,2026-03-20,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O000209,E0213,M012,2026-03-31,早餐,15,13.3,1.7,老人主动选择,电话订餐,
O000210,E0210,M015,2026-05-28,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O000211,E0234,M010,2025-12-03,晚餐,12,3.3,8.7,家属代订,小程序,
O000212,E0289,M023,2026-04-30,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O000213,E0252,M026,2025-12-07,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O000214,E0035,M006,2026-04-07,晚餐,12,12.0,0.0,家属代订,电话订餐,
O000215,E0118,M024,2026-01-25,晚餐,12,3.3,8.7,家属代订,社区代办,
O000216,E0140,M013,2026-04-06,晚餐,8,6.7,1.3,家属代订,电话订餐,
O000217,E0064,M030,2026-02-15,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O000218,E0118,M006,2026-01-31,午餐,10,3.3,6.7,食堂替换餐品,社区代办,
O000219,E0183,M023,2025-12-09,午餐,8,8.0,0.0,食堂替换餐品,现场点餐,
O000220,E0121,M002,2025-12-15,晚餐,15,6.7,8.3,家属代订,电话订餐,
O000221,E0054,M026,2026-01-22,晚餐,15,6.7,8.3,老人主动选择,小程序,
O000222,E0131,M014,2026-05-20,晚餐,12,3.3,8.7,老人主动选择,现场点餐,
O000223,E0037,M018,2026-03-30,早餐,10,3.3,6.7,家属代订,社区代办,临时外出
O000224,E0188,M006,2026-01-04,晚餐,10,6.7,3.3,家属代订,电话订餐,
O000225,E0114,M025,2025-12-10,午餐,12,3.3,8.7,食堂替换餐品,小程序,
O000226,E0225,M030,2026-03-03,早餐,8,3.3,4.7,家属代订,电话订餐,
O000227,E0241,M019,2026-04-01,早餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O000228,E0062,M027,2026-05-26,午餐,12,6.7,5.3,食堂替换餐品,小程序,
O000229,E0059,M026,2025-12-18,午餐,12,3.3,8.7,食堂替换餐品,现场点餐,
O000230,E0007,M014,2026-05-28,晚餐,15,15.0,0.0,老人主动选择,现场点餐,
O000231,E0260,M030,2026-04-08,晚餐,12,6.7,5.3,老人主动选择,电话订餐,
O000232,E0028,M013,2026-04-04,早餐,8,8.0,0.0,家属代订,小程序,
O000233,E0167,M008,2025-12-27,午餐,8,6.7,1.3,家属代订,现场点餐,
O000234,E0127,M005,2026-02-02,早餐,8,3.3,4.7,老人主动选择,小程序,
O000235,E0246,M013,2026-01-29,午餐,8,6.7,1.3,家属代订,电话订餐,
O000236,E0050,M006,2026-05-18,午餐,12,6.7,5.3,家属代订,小程序,
O000237,E0196,M022,2026-04-28,晚餐,10,6.7,3.3,老人主动选择,电话订餐,
O000238,E0213,M027,2025-12-14,午餐,12,12.0,0.0,老人主动选择,小程序,盐分过高
O000239,E0238,M028,2025-12-18,晚餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O000240,E0062,M026,2026-04-27,晚餐,10,6.7,3.3,老人主动选择,现场点餐,
O000241,E0082,M027,2026-03-02,午餐,10,6.7,3.3,家属代订,社区代办,
O000242,E0226,M029,2026-02-23,午餐,15,6.7,8.3,老人主动选择,小程序,
O000243,E0173,M019,2026-02-25,晚餐,8,6.7,1.3,家属代订,小程序,健康原因退餐
O000244,E0183,M011,2025-12-30,早餐,15,13.3,1.7,食堂替换餐品,电话订餐,
O000245,E0135,M027,2026-03-30,晚餐,12,6.7,5.3,老人主动选择,小程序,
O000246,E0109,M016,2026-02-22,晚餐,15,6.7,8.3,老人主动选择,小程序,
O000247,E0295,M005,2025-12-24,午餐,10,6.7,3.3,家属代订,电话订餐,
O000248,E0053,M012,2026-03-29,晚餐,12,3.3,8.7,食堂替换餐品,电话订餐,
O000249,E0078,M017,2026-02-27,早餐,8,6.7,1.3,老人主动选择,小程序,
O000250,E0179,M002,2026-01-06,晚餐,10,3.3,6.7,老人主动选择,电话订餐,
O000251,E0240,M010,2026-02-24,午餐,8,8.0,0.0,老人主动选择,电话订餐,
O000252,E0178,M015,2026-04-06,晚餐,15,6.7,8.3,老人主动选择,小程序,
O000253,E0205,M019,2026-05-01,午餐,8,8.0,0.0,老人主动选择,现场点餐,
O000254,E0070,M020,2025-12-15,晚餐,12,6.7,5.3,食堂替换餐品,小程序,
O000255,E0086,M029,2025-12-12,早餐,10,10.0,0.0,老人主动选择,小程序,
O000256,E0059,M025,2026-03-05,午餐,8,3.3,4.7,家属代订,小程序,
O000257,E0085,M017,2025-12-31,早餐,15,15.0,0.0,食堂替换餐品,小程序,
O000258,E0226,M019,2026-05-30,晚餐,12,6.7,5.3,老人主动选择,现场点餐,
O000259,E0205,M019,2026-03-04,午餐,10,10.0,0.0,家属代订,小程序,
O000260,E0057,M013,2026-02-22,午餐,15,3.3,11.7,家属代订,现场点餐,
O000261,E0084,M013,2026-02-10,晚餐,10,3.3,6.7,老人主动选择,电话订餐,
O000262,E0130,M016,2026-01-13,晚餐,8,3.3,4.7,老人主动选择,电话订餐,盐分过高
O000263,E0283,M022,2025-12-30,早餐,15,13.3,1.7,老人主动选择,社区代办,
O000264,E0182,M021,2026-01-04,晚餐,15,13.3,1.7,老人主动选择,现场点餐,
O000265,E0036,M003,2025-12-21,早餐,8,8.0,0.0,老人主动选择,小程序,
O000266,E0112,M004,2026-03-21,晚餐,15,3.3,11.7,食堂替换餐品,现场点餐,
O000267,E0289,M027,2026-02-01,晚餐,15,3.3,11.7,老人主动选择,电话订餐,
O000268,E0009,M007,2026-03-02,早餐,15,6.7,8.3,食堂替换餐品,小程序,
O000269,E0106,M003,2026-04-24,午餐,8,3.3,4.7,老人主动选择,现场点餐,
O000270,E0130,M009,2025-12-12,午餐,8,3.3,4.7,食堂替换餐品,社区代办,
O000271,E0299,M008,2026-04-25,午餐,10,10.0,0.0,家属代订,小程序,
O000272,E0124,M029,2026-03-02,晚餐,8,6.7,1.3,家属代订,现场点餐,
O000273,E0073,M018,2026-01-29,午餐,15,3.3,11.7,老人主动选择,小程序,
O000274,E0230,M021,2026-02-05,晚餐,8,3.3,4.7,老人主动选择,小程序,
O000275,E0168,M014,2026-03-25,午餐,15,6.7,8.3,家属代订,现场点餐,
O000276,E0071,M020,2025-12-15,晚餐,15,3.3,11.7,家属代订,电话订餐,
O000277,E0137,M028,2025-12-16,晚餐,15,3.3,11.7,家属代订,小程序,
O000278,E0071,M029,2025-12-22,晚餐,8,3.3,4.7,老人主动选择,电话订餐,
O000279,E0031,M005,2026-03-28,早餐,15,3.3,11.7,食堂替换餐品,现场点餐,
O000280,E0267,M003,2025-12-17,午餐,10,3.3,6.7,食堂替换餐品,电话订餐,
O000281,E0049,M010,2026-03-05,早餐,12,6.7,5.3,家属代订,小程序,其他原因
O000282,E0105,M011,2025-12-18,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O000283,E0155,M017,2025-12-01,午餐,10,3.3,6.7,家属代订,社区代办,
O000284,E0026,M008,2026-02-13,晚餐,12,6.7,5.3,老人主动选择,现场点餐,
O000285,E0037,M009,2025-12-06,早餐,10,3.3,6.7,家属代订,现场点餐,
O000286,E0285,M008,2026-02-25,午餐,8,3.3,4.7,家属代订,现场点餐,
O000287,E0032,M020,2026-04-16,午餐,12,3.3,8.7,老人主动选择,小程序,
O000288,E0085,M028,2026-05-29,早餐,10,10.0,0.0,家属代订,电话订餐,
O000289,E0112,M002,2026-01-31,午餐,10,3.3,6.7,老人主动选择,小程序,
O000290,E0185,M004,2026-01-27,晚餐,15,3.3,11.7,食堂替换餐品,小程序,
O000291,E0246,M030,2026-03-18,早餐,8,6.7,1.3,老人主动选择,小程序,
O000292,E0088,M016,2025-12-19,晚餐,10,3.3,6.7,老人主动选择,现场点餐,
O000293,E0163,M009,2026-03-19,午餐,12,6.7,5.3,食堂替换餐品,小程序,
O000294,E0040,M026,2026-04-20,晚餐,15,6.7,8.3,老人主动选择,小程序,
O000295,E0010,M009,2025-12-27,午餐,15,6.7,8.3,家属代订,小程序,
O000296,E0113,M021,2026-05-09,晚餐,15,13.3,1.7,老人主动选择,小程序,
O000297,E0253,M005,2026-03-10,早餐,8,3.3,4.7,家属代订,电话订餐,
O000298,E0033,M026,2025-12-09,午餐,10,3.3,6.7,家属代订,现场点餐,
O000299,E0232,M003,2026-01-18,早餐,8,3.3,4.7,老人主动选择,小程序,
O000300,E0144,M014,2026-05-14,晚餐,10,3.3,6.7,食堂替换餐品,小程序,
O000301,E0233,M015,2025-12-31,晚餐,15,6.7,8.3,老人主动选择,现场点餐,
O000302,E0012,M006,2026-05-08,早餐,12,6.7,5.3,老人主动选择,电话订餐,
O000303,E0101,M016,2026-01-28,早餐,12,6.7,5.3,老人主动选择,现场点餐,
O000304,E0023,M023,2026-04-26,午餐,8,3.3,4.7,家属代订,小程序,
O000305,E0094,M028,2026-04-09,早餐,15,13.3,1.7,老人主动选择,现场点餐,
